date,retail_sales
2023-08-01 00:38:04.139008,5003
2023-08-02 00:38:04.139008,5219
2023-08-03 00:38:04.139008,4889
2023-08-04 00:38:04.139008,4705
2023-08-05 00:38:04.139008,5757
2023-08-06 00:38:04.139008,5350
2023-08-07 00:38:04.139008,4776
2023-08-08 00:38:04.139008,4829
2023-08-09 00:38:04.139008,4987
2023-08-10 00:38:04.139008,4931
2023-08-11 00:38:04.139008,4614
2023-08-12 00:38:04.139008,5155
2023-08-13 00:38:04.139008,5095
2023-08-14 00:38:04.139008,4972
2023-08-15 00:38:04.139008,4822
2023-08-16 00:38:04.139008,5025
2023-08-17 00:38:04.139008,4652
2023-08-18 00:38:04.139008,5443
2023-08-19 00:38:04.139008,5208
2023-08-20 00:38:04.139008,5328
2023-08-21 00:38:04.139008,4917
2023-08-22 00:38:04.139008,4701
2023-08-23 00:38:04.139008,4914
2023-08-24 00:38:04.139008,5062
2023-08-25 00:38:04.139008,5092
2023-08-26 00:38:04.139008,5186
2023-08-27 00:38:04.139008,5304
2023-08-28 00:38:04.139008,4675
2023-08-29 00:38:04.139008,4728
2023-08-30 00:38:04.139008,4758
2023-08-31 00:38:04.139008,4719
2023-09-01 00:38:04.139008,4908
2023-09-02 00:38:04.139008,5515
2023-09-03 00:38:04.139008,5207
2023-09-04 00:38:04.139008,5194
2023-09-05 00:38:04.139008,4922
2023-09-06 00:38:04.139008,5364
2023-09-07 00:38:04.139008,5173
2023-09-08 00:38:04.139008,5205
2023-09-09 00:38:04.139008,5352
2023-09-10 00:38:04.139008,5372
2023-09-11 00:38:04.139008,5117
2023-09-12 00:38:04.139008,5130
2023-09-13 00:38:04.139008,5032
2023-09-14 00:38:04.139008,4936
2023-09-15 00:38:04.139008,5058
2023-09-16 00:38:04.139008,5570
2023-09-17 00:38:04.139008,5284
2023-09-18 00:38:04.139008,5430
2023-09-19 00:38:04.139008,5204
2023-09-20 00:38:04.139008,5056
2023-09-21 00:38:04.139008,5074
2023-09-22 00:38:04.139008,4918
2023-09-23 00:38:04.139008,5703
2023-09-24 00:38:04.139008,5522
2023-09-25 00:38:04.139008,5232
2023-09-26 00:38:04.139008,4978
2023-09-27 00:38:04.139008,5143
2023-09-28 00:38:04.139008,5095
2023-09-29 00:38:04.139008,4959
2023-09-30 00:38:04.139008,5359
2023-10-01 00:38:04.139008,5257
2023-10-02 00:38:04.139008,5114
2023-10-03 00:38:04.139008,5144
2023-10-04 00:38:04.139008,4920
2023-10-05 00:38:04.139008,5195
2023-10-06 00:38:04.139008,4948
2023-10-07 00:38:04.139008,5591
2023-10-08 00:38:04.139008,5440
2023-10-09 00:38:04.139008,4985
2023-10-10 00:38:04.139008,4983
2023-10-11 00:38:04.139008,5429
2023-10-12 00:38:04.139008,5185
2023-10-13 00:38:04.139008,5252
2023-10-14 00:38:04.139008,5067
2023-10-15 00:38:04.139008,5644
2023-10-16 00:38:04.139008,5057
2023-10-17 00:38:04.139008,5127
2023-10-18 00:38:04.139008,5081
2023-10-19 00:38:04.139008,5566
2023-10-20 00:38:04.139008,5094
2023-10-21 00:38:04.139008,5652
2023-10-22 00:38:04.139008,5396
2023-10-23 00:38:04.139008,5192
2023-10-24 00:38:04.139008,5148
2023-10-25 00:38:04.139008,5191
2023-10-26 00:38:04.139008,5380
2023-10-27 00:38:04.139008,5272
2023-10-28 00:38:04.139008,5857
2023-10-29 00:38:04.139008,5422
2023-10-30 00:38:04.139008,5083
2023-10-31 00:38:04.139008,4772
2023-11-01 00:38:04.139008,5893
2023-11-02 00:38:04.139008,6061
2023-11-03 00:38:04.139008,5635
2023-11-04 00:38:04.139008,6293
2023-11-05 00:38:04.139008,5836
2023-11-06 00:38:04.139008,5975
2023-11-07 00:38:04.139008,6029
2023-11-08 00:38:04.139008,5620
2023-11-09 00:38:04.139008,5738
2023-11-10 00:38:04.139008,5555
2023-11-11 00:38:04.139008,6387
2023-11-12 00:38:04.139008,6133
2023-11-13 00:38:04.139008,6339
2023-11-14 00:38:04.139008,5821
2023-11-15 00:38:04.139008,6200
2023-11-16 00:38:04.139008,6148
2023-11-17 00:38:04.139008,5782
2023-11-18 00:38:04.139008,6405
2023-11-19 00:38:04.139008,5993
2023-11-20 00:38:04.139008,5949
2023-11-21 00:38:04.139008,5831
2023-11-22 00:38:04.139008,6084
2023-11-23 00:38:04.139008,6025
2023-11-24 00:38:04.139008,5780
2023-11-25 00:38:04.139008,6170
2023-11-26 00:38:04.139008,6012
2023-11-27 00:38:04.139008,5769
2023-11-28 00:38:04.139008,5919
2023-11-29 00:38:04.139008,5797
2023-11-30 00:38:04.139008,5929
2023-12-01 00:38:04.139008,6512
2023-12-02 00:38:04.139008,7053
2023-12-03 00:38:04.139008,7095
2023-12-04 00:38:04.139008,6483
2023-12-05 00:38:04.139008,6520
2023-12-06 00:38:04.139008,6949
2023-12-07 00:38:04.139008,6669
2023-12-08 00:38:04.139008,6600
2023-12-09 00:38:04.139008,7279
2023-12-10 00:38:04.139008,7058
2023-12-11 00:38:04.139008,6815
2023-12-12 00:38:04.139008,6494
2023-12-13 00:38:04.139008,6779
2023-12-14 00:38:04.139008,6387
2023-12-15 00:38:04.139008,6534
